"All Websites","Усі веб-сайти"
"Apply Percent Discounts To FPT","Застосувати пропорційні знижки до спецзбору"
"Apply Tax To FPT","Застосувати податок до спецзбору"
"Display Prices In Emails","Показувати ціни в електронних листах"
"Display Prices In Product Lists","Показувати ціни у переліку виробів"
"Display Prices In Sales Modules","Показувати ціни у модулях продажу"
"Display Prices On Product View Page","Показувати ціни на сторінці з описом виробу"
"Enable FPT","Задіяти спецзбір"
"Excluding FPT","Не включаючи спецзбір"
"Excluding FPT, FPT description, final price","Не включаючи спецзбір, опис спецзбору, остаточна ціна"
"Fixed Product Tax","Спеціальний збір"
"Fixed Product Taxes","Спеціальні збори"
"Include FPT In Subtotal","Включати спецзбір у рядку «Разом»"
"Including FPT and FPT description [excl. FPT VAT]","Включаючи спецзбір та його опис [не вкл. ПДВ до спецзбору]"
"Including FPT and FPT description [incl. FPT VAT]","Включаючи спецзбір та його опис [вкл. ПДВ до спецзбору]"
"Including FPT only","Включаючи лише спецзбір"
"Total","Разом"
"Total incl. tax","Загалом, враховуючи податок"
