"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s успішно додано до вашої скриньки бажань. Клацніть <a href=""%2$s"">тут</a>, щоб продовжити покупки"
"%s's Wishlist","Скринька бажань %s"
"* Required Fields","* Обов’язкові поля"
"Add All to Cart","Покласти все в кошик"
"Add to Cart","Покласти в кошик"
"Add to Wishlist","Додати до скриньки бажань"
"Added On","Дата додавання"
"Are You sure?","Чи ви впевнені?"
"Are you sure you want to remove this product from your wishlist?","Чи ви дійсно бажаєти вийняти цей виріб зі своєї скриньки бажань?"
"Are you sure you would like to remove this item from the wishlist?","Чи ви дійсно бажаєти вийняти цю річ зі своєї скриньки бажань?"
"Back","Назад"
"Can't save description %s","Зберігання опису %s пішло марно"
"Cannot create wishlist","Створення скринькі бажань пішло марно"
"Cannot specify product","Визначення виробу пішло марно"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Поставте тут пташку, щоб додати ланку до RSS-стрічки новин вашої скриньки бажань."
"Comment","Зауваги"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Email address can't be empty.","Поле адреси електропошти має бути заповнено."
"Email addresses, separated by commas","Адреси електропошти, відокремлені комами"
"Enabled","Увімкнено"
"General Options","Загальні налаштування"
"Go to Wishlist","До скриньки бажань"
"Last Added Items","Вироби, додані востаннє"
"Message","Повідомлення"
"My Wishlist","Скринька бажань"
"My Wishlist (%d item)","Скринька бажань (%d шт.)"
"My Wishlist (%d items)","Скринька бажань(%d шт.)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Будь-ласка, вкажіть дійсні адреси електропошти через кому. Наприклад, johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Будь ласка, наберіть свої зауваження..."
"Product","Виріб"
"RSS Feed","RSS-стрічка новин"
"RSS link to %s's wishlist","RSS-ланка до скриньки бажань %s"
"Remove Item","Витягнути річ"
"Share Wishlist","Надіслати скриньку бажань іншим"
"Share Your Wishlist","Надішліть свою скриньку бажань іншим"
"Share options","Налаштування механізму надсилання іншим"
"Sharing Information","Дані про механізм надсилання іншим"
"There was an error while adding item to wishlist.","Під час додавання речі до скриньки бажань сталася помилка."
"There was an error while adding item to wishlist: %s","Під час додавання речі до скриньки бажань сталася помилка: %s"
"There was an error while deleting item from wishlist.","Під час виймання речі зі скриньки бажань сталася помилка."
"There was an error while deleting item from wishlist: %s","Під час виймання речі зі скриньки бажань сталася помилка.: %s"
"This product(s) is currently out of stock:","На складі зараз нема такого виробу(-бів):"
"Update Wishlist","Оновити скриньку бажань"
"View Product","Переглянути виріб"
"Wishlist","Скринька бажань"
"Wishlist Section","Розділ скриньки бажань"
"Wishlist Sharing","Надсилання списку бажань іншим"
"Wishlist is empty now.","Скринька бажань зараз пуста."
"You have no items in your wishlist.","У вашій скриньці бажань нічого нема."
"You input not valid email address.","Ви вказали недійсну адресу електропошти."
"Your Wishlist was successfully shared","Вашу скриньку бажань успішно надіслано іншим"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Скринька бажань - <a href=""%s"">%d шт.</a>"
"My Wishlist","Скринька бажань"
"Are you sure you want to remove this product from your wishlist?","Чи ви дійсно бажаєте вийняти цей виріб зі своєї скриньки бажань?"
"Please, enter your comments...","Будь ласка, наберіть текст свого повідомлення..."
